0.750000 -1.999866  -6.357500 0.590221
0.752500 -2.015759  -6.382025 0.590522
0.755000 -2.031714  -6.406550 0.590823
0.757500 -2.047731  -6.431075 0.591124
0.760000 -2.063808  -6.455600 0.591424
0.762500 -2.079947  -6.480125 0.591725
0.765000 -2.096148  -6.504650 0.592026
0.767500 -2.112409  -6.529175 0.592327
0.770000 -2.128732  -6.553700 0.592627
0.772500 -2.145117  -6.578225 0.592928
0.775000 -2.161562  -6.602750 0.593229
0.777500 -2.178069  -6.627275 0.593529
0.780000 -2.194637  -6.651800 0.593830
0.782500 -2.211267  -6.676325 0.594131
0.785000 -2.227958  -6.700850 0.594432
0.787500 -2.244710  -6.725375 0.594732
0.790000 -2.261523  -6.749900 0.595033
0.792500 -2.278398  -6.774425 0.595334
0.795000 -2.295334  -6.798950 0.595635
0.797500 -2.312331  -6.823475 0.595935
0.800000 -2.329390  -6.848000 0.596236
0.802500 -2.346510  -6.872525 0.596537
0.805000 -2.363691  -6.897050 0.596838
0.807500 -2.380934  -6.921575 0.597138
0.810000 -2.398238  -6.946100 0.597439
0.812500 -2.415603  -6.970625 0.597740
0.815000 -2.433030  -6.995150 0.598041
0.817500 -2.450518  -7.019675 0.598341
0.820000 -2.468067  -7.044200 0.598642
0.822500 -2.485677  -7.068725 0.598943
0.825000 -2.503349  -7.093250 0.599243
0.827500 -2.521082  -7.117775 0.599544
0.830000 -2.538877  -7.142300 0.599845
0.832500 -2.556732  -7.166825 0.600146
0.835000 -2.574649  -7.191350 0.600446
0.837500 -2.592628  -7.215875 0.600747
0.840000 -2.610667  -7.240400 0.601048
0.842500 -2.628768  -7.264925 0.601349
0.845000 -2.646931  -7.289450 0.601649
0.847500 -2.665154  -7.313975 0.601950
0.850000 -2.683439  -7.338500 0.602251
0.852500 -2.701786  -7.363025 0.602552
0.855000 -2.720193  -7.387550 0.602852
0.857500 -2.738662  -7.412075 0.603153
0.860000 -2.757192  -7.436600 0.603454
0.862500 -2.775784  -7.461125 0.603755
0.865000 -2.794437  -7.485650 0.604055
0.867500 -2.813151  -7.510175 0.604356
0.870000 -2.831926  -7.534700 0.604657
0.872500 -2.850763  -7.559225 0.604957
0.875000 -2.869661  -7.583750 0.605258
0.877500 -2.888620  -7.608275 0.605559
0.880000 -2.907641  -7.632800 0.605860
0.882500 -2.926723  -7.657325 0.606160
0.885000 -2.945866  -7.681850 0.606461
0.887500 -2.965071  -7.706375 0.606762
0.890000 -2.984337  -7.730900 0.607063
0.892500 -3.003664  -7.755425 0.607363
0.895000 -3.023053  -7.779950 0.607664
0.897500 -3.042503  -7.804475 0.607965
0.900000 -3.062014  -7.829000 0.608266
0.902500 -3.081586  -7.853525 0.608566
0.905000 -3.101220  -7.878050 0.608867
0.907500 -3.120915  -7.902575 0.609168
0.910000 -3.140672  -7.927100 0.609469
0.912500 -3.160489  -7.951625 0.609769
0.915000 -3.180368  -7.976150 0.610070
0.917500 -3.200309  -8.000675 0.610371
0.920000 -3.220310  -8.025200 0.610672
0.922500 -3.240373  -8.049725 0.610972
0.925000 -3.260498  -8.074250 0.611273
0.927500 -3.280683  -8.098775 0.611574
0.930000 -3.300930  -8.123300 0.611874
0.932500 -3.321239  -8.147825 0.612175
0.935000 -3.341608  -8.172350 0.612476
0.937500 -3.362039  -8.196875 0.612777
0.940000 -3.382531  -8.221400 0.613077
0.942500 -3.403085  -8.245925 0.613378
0.945000 -3.423700  -8.270450 0.613679
0.947500 -3.444376  -8.294975 0.613980
0.950000 -3.465113  -8.319500 0.614280
0.952500 -3.485912  -8.344025 0.614581
0.955000 -3.506772  -8.368550 0.614882
0.957500 -3.527693  -8.393075 0.615183
0.960000 -3.548676  -8.417600 0.615483
0.962500 -3.569720  -8.442125 0.615784
0.965000 -3.590825  -8.466650 0.616085
0.967500 -3.611992  -8.491175 0.616386
0.970000 -3.633220  -8.515700 0.616686
0.972500 -3.654509  -8.540225 0.616987
0.975000 -3.675860  -8.564750 0.617288
0.977500 -3.697272  -8.589275 0.617588
0.980000 -3.718745  -8.613800 0.617889
0.982500 -3.740279  -8.638325 0.618190
0.985000 -3.761875  -8.662850 0.618491
0.987500 -3.783532  -8.687375 0.618791
0.990000 -3.805251  -8.711900 0.619092
0.992500 -3.827030  -8.736425 0.619393
0.995000 -3.848871  -8.760950 0.619694
0.997500 -3.870774  -8.785475 0.619994
1.000000 -3.892737  -8.810000 0.620295
