0.695000 3.064238  7.817950 0.500000
0.697500 3.083813  7.842475 0.500000
0.700000 3.103450  7.867000 0.500000
0.702500 3.123148  7.891525 0.500000
0.705000 3.142908  7.916050 0.500000
0.707500 3.162728  7.940575 0.500000
0.710000 3.182610  7.965100 0.500000
0.712500 3.202554  7.989625 0.500000
0.715000 3.222559  8.014150 0.500000
0.717500 3.242625  8.038675 0.500000
0.720000 3.262752  8.063200 0.500000
0.722500 3.282941  8.087725 0.500000
0.725000 3.303191  8.112250 0.500000
0.727500 3.323502  8.136775 0.500000
0.730000 3.343874  8.161300 0.500000
0.732500 3.364308  8.185825 0.500000
0.735000 3.384804  8.210350 0.500000
0.737500 3.405360  8.234875 0.500000
0.740000 3.425978  8.259400 0.500000
0.742500 3.446657  8.283925 0.500000
0.745000 3.467398  8.308450 0.500000
0.747500 3.488199  8.332975 0.500000
0.750000 3.509062  8.357500 0.500000
0.752500 3.529987  8.382025 0.500000
0.755000 3.550973  8.406550 0.500000
0.757500 3.572020  8.431075 0.500000
0.760000 3.593128  8.455600 0.500000
0.762500 3.614298  8.480125 0.500000
0.765000 3.635529  8.504650 0.500000
0.767500 3.656821  8.529175 0.500000
0.770000 3.678174  8.553700 0.500000
0.772500 3.699589  8.578225 0.500000
0.775000 3.721066  8.602750 0.500000
0.777500 3.742603  8.627275 0.500000
0.780000 3.764202  8.651800 0.500000
0.782500 3.785862  8.676325 0.500000
0.785000 3.807584  8.700850 0.500000
0.787500 3.829366  8.725375 0.500000
0.790000 3.851210  8.749900 0.500000
0.792500 3.873116  8.774425 0.500000
0.795000 3.895083  8.798950 0.500000
0.797500 3.917111  8.823475 0.500000
0.800000 3.939200  8.848000 0.500000
0.802500 3.961351  8.872525 0.500000
0.805000 3.983563  8.897050 0.500000
0.807500 4.005836  8.921575 0.500000
0.810000 4.028170  8.946100 0.500000
0.812500 4.050566  8.970625 0.500000
0.815000 4.073024  8.995150 0.500000
0.817500 4.095542  9.019675 0.500000
0.820000 4.118122  9.044200 0.500000
0.822500 4.140763  9.068725 0.500000
0.825000 4.163466  9.093250 0.500000
0.827500 4.186229  9.117775 0.500000
0.830000 4.209054  9.142300 0.500000
0.832500 4.231941  9.166825 0.500000
0.835000 4.254889  9.191350 0.500000
0.837500 4.277898  9.215875 0.500000
0.840000 4.300968  9.240400 0.500000
0.842500 4.324100  9.264925 0.500000
0.845000 4.347293  9.289450 0.500000
0.847500 4.370547  9.313975 0.500000
0.850000 4.393862  9.338500 0.500000
0.852500 4.417239  9.363025 0.500000
0.855000 4.440678  9.387550 0.500000
0.857500 4.464177  9.412075 0.500000
0.860000 4.487738  9.436600 0.500000
0.862500 4.511360  9.461125 0.500000
0.865000 4.535044  9.485650 0.500000
0.867500 4.558788  9.510175 0.500000
0.870000 4.582594  9.534700 0.500000
0.872500 4.606462  9.559225 0.500000
0.875000 4.630391  9.583750 0.500000
0.877500 4.654381  9.608275 0.500000
0.880000 4.678432  9.632800 0.500000
0.882500 4.702545  9.657325 0.500000
0.885000 4.726719  9.681850 0.500000
0.887500 4.750954  9.706375 0.500000
0.890000 4.775250  9.730900 0.500000
0.892500 4.799608  9.755425 0.500000
0.895000 4.824028  9.779950 0.500000
0.897500 4.848508  9.804475 0.500000
0.900000 4.873050  9.829000 0.500000
0.902500 4.897653  9.853525 0.500000
0.905000 4.922318  9.878050 0.500000
0.907500 4.947043  9.902575 0.500000
0.910000 4.971830  9.927100 0.500000
0.912500 4.996679  9.951625 0.500000
0.915000 5.021589  9.976150 0.500000
0.917500 5.046560  10.000675 0.500000
0.920000 5.071592  10.025200 0.500000
0.922500 5.096686  10.049725 0.500000
0.925000 5.121841  10.074250 0.500000
0.927500 5.147057  10.098775 0.500000
0.930000 5.172334  10.123300 0.500000
0.932500 5.197673  10.147825 0.500000
0.935000 5.223074  10.172350 0.500000
0.937500 5.248535  10.196875 0.500000
0.940000 5.274058  10.221400 0.500000
0.942500 5.299642  10.245925 0.500000
0.945000 5.325288  10.270450 0.500000
0.947500 5.350994  10.294975 0.500000
0.950000 5.376762  10.319500 0.500000
0.952500 5.402592  10.344025 0.500000
0.955000 5.428483  10.368550 0.500000
0.957500 5.454435  10.393075 0.500000
0.960000 5.480448  10.417600 0.500000
0.962500 5.506523  10.442125 0.500000
0.965000 5.532659  10.466650 0.500000
0.967500 5.558856  10.491175 0.500000
0.970000 5.585114  10.515700 0.500000
0.972500 5.611434  10.540225 0.500000
0.975000 5.637816  10.564750 0.500000
0.977500 5.664258  10.589275 0.500000
0.980000 5.690762  10.613800 0.500000
0.982500 5.717327  10.638325 0.500000
0.985000 5.743954  10.662850 0.500000
0.987500 5.770641  10.687375 0.500000
0.990000 5.797390  10.711900 0.500000
0.992500 5.824201  10.736425 0.500000
0.995000 5.851073  10.760950 0.500000
0.997500 5.878006  10.785475 0.500000
1.000000 5.905000  10.810000 0.500000
