0.867500 -1.644270  -3.080886 -11.384363
0.870000 -1.651972  -3.081681 -11.457471
0.872500 -1.659677  -3.082464 -11.530635
0.875000 -1.667383  -3.083235 -11.603856
0.877500 -1.675091  -3.083994 -11.677131
0.880000 -1.682801  -3.084742 -11.750461
0.882500 -1.690513  -3.085478 -11.823844
0.885000 -1.698226  -3.086202 -11.897279
0.887500 -1.705942  -3.086916 -11.970766
0.890000 -1.713659  -3.087618 -12.044304
0.892500 -1.721378  -3.088310 -12.117893
0.895000 -1.729099  -3.088991 -12.191531
0.897500 -1.736822  -3.089661 -12.265217
0.900000 -1.744546  -3.090321 -12.338952
0.902500 -1.752272  -3.090971 -12.412734
0.905000 -1.759999  -3.091610 -12.486562
0.907500 -1.767728  -3.092240 -12.560436
0.910000 -1.775459  -3.092860 -12.634356
0.912500 -1.783191  -3.093471 -12.708320
0.915000 -1.790924  -3.094072 -12.782327
0.917500 -1.798660  -3.094664 -12.856378
0.920000 -1.806396  -3.095246 -12.930472
0.922500 -1.814134  -3.095820 -13.004607
0.925000 -1.821874  -3.096385 -13.078783
0.927500 -1.829615  -3.096941 -13.153001
0.930000 -1.837357  -3.097488 -13.227258
0.932500 -1.845101  -3.098027 -13.301554
0.935000 -1.852846  -3.098558 -13.375889
0.937500 -1.860592  -3.099080 -13.450263
0.940000 -1.868340  -3.099594 -13.524674
0.942500 -1.876089  -3.100101 -13.599122
0.945000 -1.883839  -3.100599 -13.673607
0.947500 -1.891591  -3.101090 -13.748127
0.950000 -1.899344  -3.101573 -13.822683
0.952500 -1.907098  -3.102049 -13.897274
0.955000 -1.914853  -3.102517 -13.971899
0.957500 -1.922609  -3.102978 -14.046558
0.960000 -1.930366  -3.103432 -14.121250
0.962500 -1.938125  -3.103878 -14.195975
0.965000 -1.945885  -3.104318 -14.270733
0.967500 -1.953645  -3.104751 -14.345522
0.970000 -1.961407  -3.105177 -14.420342
0.972500 -1.969170  -3.105597 -14.495193
0.975000 -1.976934  -3.106010 -14.570075
0.977500 -1.984699  -3.106417 -14.644986
0.980000 -1.992465  -3.106818 -14.719927
0.982500 -2.000232  -3.107212 -14.794897
0.985000 -2.008000  -3.107600 -14.869895
0.987500 -2.015769  -3.107982 -14.944922
0.990000 -2.023539  -3.108358 -15.019976
0.992500 -2.031310  -3.108728 -15.095058
0.995000 -2.039082  -3.109093 -15.170166
0.997500 -2.046855  -3.109452 -15.245301
1.000000 -2.054628  -3.109805 -15.320461
1.002500 -2.062403  -3.110153 -15.395648
1.005000 -2.070178  -3.110495 -15.470859
1.007500 -2.077955  -3.110832 -15.546096
1.010000 -2.085732  -3.111164 -15.621357
1.012500 -2.093510  -3.111491 -15.696642
1.015000 -2.101288  -3.111812 -15.771950
1.017500 -2.109068  -3.112129 -15.847282
1.020000 -2.116848  -3.112440 -15.922638
1.022500 -2.124629  -3.112747 -15.998015
1.025000 -2.132411  -3.113049 -16.073415
1.027500 -2.140194  -3.113346 -16.148837
1.030000 -2.147977  -3.113639 -16.224281
1.032500 -2.155761  -3.113927 -16.299746
1.035000 -2.163546  -3.114211 -16.375231
1.037500 -2.171332  -3.114490 -16.450738
1.040000 -2.179118  -3.114765 -16.526264
1.042500 -2.186905  -3.115036 -16.601811
1.045000 -2.194692  -3.115302 -16.677378
1.047500 -2.202481  -3.115564 -16.752963
1.050000 -2.210269  -3.115822 -16.828568
1.052500 -2.218059  -3.116077 -16.904192
1.055000 -2.225849  -3.116327 -16.979834
1.057500 -2.233640  -3.116573 -17.055495
1.060000 -2.241431  -3.116815 -17.131173
1.062500 -2.249223  -3.117054 -17.206869
1.065000 -2.257016  -3.117289 -17.282582
1.067500 -2.264809  -3.117520 -17.358313
1.070000 -2.272603  -3.117748 -17.434060
1.072500 -2.280397  -3.117972 -17.509824
1.075000 -2.288192  -3.118193 -17.585605
1.077500 -2.295988  -3.118410 -17.661401
1.080000 -2.303784  -3.118624 -17.737213
1.082500 -2.311580  -3.118834 -17.813041
1.085000 -2.319378  -3.119041 -17.888884
1.087500 -2.327175  -3.119245 -17.964743
1.090000 -2.334973  -3.119446 -18.040616
1.092500 -2.342772  -3.119644 -18.116504
1.095000 -2.350571  -3.119838 -18.192406
1.097500 -2.358371  -3.120030 -18.268323
1.100000 -2.366171  -3.120218 -18.344253
1.102500 -2.373971  -3.120404 -18.420197
1.105000 -2.381772  -3.120587 -18.496155
1.107500 -2.389574  -3.120766 -18.572126
1.110000 -2.397376  -3.120943 -18.648111
1.112500 -2.405178  -3.121118 -18.724108
1.115000 -2.412981  -3.121289 -18.800118
1.117500 -2.420784  -3.121458 -18.876140
1.120000 -2.428588  -3.121624 -18.952175
1.122500 -2.436392  -3.121788 -19.028222
1.125000 -2.444196  -3.121949 -19.104281
1.127500 -2.452001  -3.122108 -19.180352
1.130000 -2.459806  -3.122264 -19.256434
1.132500 -2.467612  -3.122418 -19.332528
1.135000 -2.475418  -3.122569 -19.408633
1.137500 -2.483224  -3.122718 -19.484749
1.140000 -2.491031  -3.122864 -19.560875
1.142500 -2.498838  -3.123009 -19.637013
1.145000 -2.506646  -3.123151 -19.713161
1.147500 -2.514454  -3.123290 -19.789320
1.150000 -2.522262  -3.123428 -19.865489
1.152500 -2.530071  -3.123564 -19.941667
1.155000 -2.537879  -3.123697 -20.017856
1.157500 -2.545689  -3.123828 -20.094055
1.160000 -2.553498  -3.123958 -20.170263
1.162500 -2.561308  -3.124085 -20.246481
1.165000 -2.569118  -3.124210 -20.322708
1.167500 -2.576929  -3.124333 -20.398944
1.170000 -2.584740  -3.124455 -20.475189
1.172500 -2.592551  -3.124574 -20.551443
1.175000 -2.600362  -3.124692 -20.627705
1.177500 -2.608174  -3.124807 -20.703977
1.180000 -2.615986  -3.124921 -20.780257
1.182500 -2.623798  -3.125034 -20.856545
1.185000 -2.631611  -3.125144 -20.932841
1.187500 -2.639424  -3.125253 -21.009146
1.190000 -2.647237  -3.125360 -21.085458
1.192500 -2.655050  -3.125465 -21.161778
1.195000 -2.662864  -3.125569 -21.238106
1.197500 -2.670678  -3.125671 -21.314442
1.200000 -2.678492  -3.125771 -21.390785
1.202500 -2.686307  -3.125870 -21.467136
1.205000 -2.694121  -3.125967 -21.543493
1.207500 -2.701936  -3.126063 -21.619858
1.210000 -2.709751  -3.126158 -21.696230
1.212500 -2.717567  -3.126250 -21.772609
1.215000 -2.725382  -3.126342 -21.848994
1.217500 -2.733198  -3.126432 -21.925386
1.220000 -2.741014  -3.126520 -22.001785
1.222500 -2.748831  -3.126607 -22.078191
1.225000 -2.756647  -3.126693 -22.154602
1.227500 -2.764464  -3.126778 -22.231020
1.230000 -2.772281  -3.126861 -22.307445
1.232500 -2.780098  -3.126943 -22.383875
1.235000 -2.787915  -3.127023 -22.460311
1.237500 -2.795733  -3.127103 -22.536753
1.240000 -2.803551  -3.127181 -22.613202
1.242500 -2.811369  -3.127258 -22.689655
1.245000 -2.819187  -3.127333 -22.766115
1.247500 -2.827005  -3.127408 -22.842580
1.250000 -2.834824  -3.127481 -22.919050
1.252500 -2.842642  -3.127553 -22.995526
1.255000 -2.850461  -3.127624 -23.072007
1.257500 -2.858280  -3.127694 -23.148493
1.260000 -2.866099  -3.127763 -23.224985
1.262500 -2.873919  -3.127831 -23.301481
1.265000 -2.881738  -3.127897 -23.377983
1.267500 -2.889558  -3.127963 -23.454489
1.270000 -2.897378  -3.128028 -23.531000
1.272500 -2.905198  -3.128091 -23.607516
1.275000 -2.913018  -3.128154 -23.684037
1.277500 -2.920839  -3.128215 -23.760562
1.280000 -2.928659  -3.128276 -23.837092
1.282500 -2.936480  -3.128336 -23.913626
1.285000 -2.944301  -3.128395 -23.990164
1.287500 -2.952122  -3.128453 -24.066707
1.290000 -2.959943  -3.128509 -24.143254
1.292500 -2.967764  -3.128566 -24.219805
1.295000 -2.975586  -3.128621 -24.296361
1.297500 -2.983407  -3.128675 -24.372920
1.300000 -2.991229  -3.128729 -24.449484
1.302500 -2.999051  -3.128781 -24.526051
1.305000 -3.006873  -3.128833 -24.602622
1.307500 -3.014695  -3.128884 -24.679197
1.310000 -3.022517  -3.128934 -24.755776
1.312500 -3.030339  -3.128984 -24.832359
1.315000 -3.038162  -3.129032 -24.908945
1.317500 -3.045984  -3.129080 -24.985534
1.320000 -3.053807  -3.129127 -25.062127
1.322500 -3.061630  -3.129174 -25.138724
1.325000 -3.069453  -3.129219 -25.215324
1.327500 -3.077276  -3.129264 -25.291928
1.330000 -3.085099  -3.129309 -25.368534
1.332500 -3.092922  -3.129352 -25.445144
1.335000 -3.100746  -3.129395 -25.521757
1.337500 -3.108569  -3.129437 -25.598374
1.340000 -3.116393  -3.129479 -25.674993
1.342500 -3.124216  -3.129520 -25.751616
1.345000 -3.132040  -3.129560 -25.828241
1.347500 -3.139864  -3.129600 -25.904869
1.350000 -3.147688  -3.129639 -25.981501
1.352500 -3.155512  -3.129677 -26.058135
1.355000 -3.163336  -3.129715 -26.134772
1.357500 -3.171161  -3.129752 -26.211412
1.360000 -3.178985  -3.129789 -26.288054
1.362500 -3.186809  -3.129825 -26.364699
1.365000 -3.194634  -3.129860 -26.441347
1.367500 -3.202459  -3.129895 -26.517998
1.370000 -3.210283  -3.129930 -26.594651
1.372500 -3.218108  -3.129963 -26.671306
1.375000 -3.225933  -3.129997 -26.747965
1.377500 -3.233758  -3.130030 -26.824625
1.380000 -3.241583  -3.130062 -26.901288
1.382500 -3.249408  -3.130094 -26.977953
1.385000 -3.257234  -3.130125 -27.054621
1.387500 -3.265059  -3.130156 -27.131291
1.390000 -3.272884  -3.130186 -27.207963
1.392500 -3.280710  -3.130216 -27.284637
1.395000 -3.288535  -3.130245 -27.361314
1.397500 -3.296361  -3.130274 -27.437993
1.400000 -3.304187  -3.130303 -27.514674
1.402500 -3.312012  -3.130331 -27.591357
1.405000 -3.319838  -3.130358 -27.668042
1.407500 -3.327664  -3.130385 -27.744729
1.410000 -3.335490  -3.130412 -27.821418
1.412500 -3.343316  -3.130438 -27.898109
1.415000 -3.351142  -3.130464 -27.974802
1.417500 -3.358968  -3.130490 -28.051497
1.420000 -3.366795  -3.130515 -28.128193
1.422500 -3.374621  -3.130540 -28.204892
1.425000 -3.382447  -3.130564 -28.281592
1.427500 -3.390274  -3.130588 -28.358294
1.430000 -3.398100  -3.130611 -28.434998
1.432500 -3.405927  -3.130634 -28.511704
1.435000 -3.413753  -3.130657 -28.588411
1.437500 -3.421580  -3.130680 -28.665121
1.440000 -3.429407  -3.130702 -28.741831
1.442500 -3.437233  -3.130724 -28.818544
1.445000 -3.445060  -3.130745 -28.895257
1.447500 -3.452887  -3.130766 -28.971973
1.450000 -3.460714  -3.130787 -29.048690
1.452500 -3.468541  -3.130807 -29.125409
1.455000 -3.476368  -3.130827 -29.202129
1.457500 -3.484195  -3.130847 -29.278850
1.460000 -3.492022  -3.130867 -29.355573
1.462500 -3.499849  -3.130886 -29.432298
1.465000 -3.507676  -3.130905 -29.509024
1.467500 -3.515504  -3.130923 -29.585751
1.470000 -3.523331  -3.130942 -29.662479
1.472500 -3.531158  -3.130960 -29.739209
1.475000 -3.538986  -3.130977 -29.815941
1.477500 -3.546813  -3.130995 -29.892673
1.480000 -3.554641  -3.131012 -29.969407
1.482500 -3.562468  -3.131029 -30.046142
1.485000 -3.570296  -3.131046 -30.122879
1.487500 -3.578123  -3.131062 -30.199616
1.490000 -3.585951  -3.131078 -30.276355
1.492500 -3.593779  -3.131094 -30.353095
1.495000 -3.601607  -3.131110 -30.429836
1.497500 -3.609434  -3.131125 -30.506578
1.500000 -3.617262  -3.131140 -30.583322
1.502500 -3.625090  -3.131155 -30.660066
1.505000 -3.632918  -3.131170 -30.736812
1.507500 -3.640746  -3.131184 -30.813559
1.510000 -3.648574  -3.131198 -30.890307
1.512500 -3.656402  -3.131212 -30.967055
1.515000 -3.664230  -3.131226 -31.043805
1.517500 -3.672058  -3.131240 -31.120556
1.520000 -3.679886  -3.131253 -31.197308
1.522500 -3.687714  -3.131266 -31.274061
1.525000 -3.695542  -3.131279 -31.350815
1.527500 -3.703370  -3.131292 -31.427569
1.530000 -3.711199  -3.131304 -31.504325
1.532500 -3.719027  -3.131317 -31.581082
1.535000 -3.726855  -3.131329 -31.657839
1.537500 -3.734684  -3.131341 -31.734598
1.540000 -3.742512  -3.131353 -31.811357
1.542500 -3.750340  -3.131364 -31.888117
1.545000 -3.758169  -3.131376 -31.964878
1.547500 -3.765997  -3.131387 -32.041640
