2.410000 0.307752  0.230484 6.701262e-10
2.420000 0.309903  0.199601 6.739249e-10
2.430000 0.311744  0.168519 6.773923e-10
2.440000 0.313274  0.137268 6.805340e-10
2.450000 0.314490  0.105880 6.833574e-10
2.460000 0.315391  0.074386 6.858714e-10
2.470000 0.315977  0.042817 6.880868e-10
2.480000 0.316247  0.011206 6.900161e-10
2.490000 0.316201  -0.020416 6.916732e-10
2.500000 0.315839  -0.052018 6.930740e-10
2.510000 0.315161  -0.083568 6.942354e-10
2.520000 0.314168  -0.115035 6.951763e-10
2.530000 0.312860  -0.146386 6.959167e-10
2.540000 0.311240  -0.177591 6.964782e-10
2.550000 0.309308  -0.208619 6.968833e-10
2.560000 0.307068  -0.239438 6.971560e-10
2.570000 0.304520  -0.270017 6.973214e-10
2.580000 0.301667  -0.300326 6.974055e-10
2.590000 0.298513  -0.330335 6.974350e-10
2.600000 0.295061  -0.360014 6.974379e-10
2.610000 0.291313  -0.389333 6.974423e-10
2.620000 0.287274  -0.418262 6.974772e-10
2.630000 0.282948  -0.446773 6.975720e-10
2.640000 0.278338  -0.474837 6.977564e-10
2.650000 0.273451  -0.502427 6.980601e-10
2.660000 0.268290  -0.529514 6.985130e-10
2.670000 0.262861  -0.556071 6.991450e-10
2.680000 0.257169  -0.582073 6.999857e-10
2.690000 0.251219  -0.607492 7.010642e-10
2.700000 0.245019  -0.632304 7.024094e-10
2.710000 0.238573  -0.656484 7.040495e-10
2.720000 0.231889  -0.680007 7.060117e-10
2.730000 0.224973  -0.702850 7.083228e-10
2.740000 0.217832  -0.724990 7.110081e-10
2.750000 0.210473  -0.746405 7.140922e-10
2.760000 0.202904  -0.767074 7.175981e-10
2.770000 0.195132  -0.786976 7.215476e-10
2.780000 0.187164  -0.806091 7.259612e-10
2.790000 0.179010  -0.824400 7.308574e-10
2.800000 0.170676  -0.841884 7.362534e-10
2.810000 0.162172  -0.858526 7.421644e-10
2.820000 0.153506  -0.874310 7.486040e-10
2.830000 0.144686  -0.889220 7.555834e-10
2.840000 0.135721  -0.903240 7.631122e-10
2.850000 0.126621  -0.916357 7.711977e-10
2.860000 0.117394  -0.928558 7.798453e-10
2.870000 0.108050  -0.939830 7.890578e-10
2.880000 0.098598  -0.950163 7.988363e-10
2.890000 0.089047  -0.959545 8.091791e-10
2.900000 0.079407  -0.967968 8.200827e-10
2.910000 0.069687  -0.975422 8.315410e-10
2.920000 0.059898  -0.981902 8.435459e-10
2.930000 0.050049  -0.987399 8.560867e-10
2.940000 0.040150  -0.991909 8.691508e-10
2.950000 0.030211  -0.995427 8.827232e-10
2.960000 0.020242  -0.997950 8.967866e-10
2.970000 0.010252  -0.999474 9.113219e-10
2.980000 0.000252  -1.000000 9.263077e-10
2.990000 -0.009748  -0.999525 9.417207e-10
3.000000 -0.019738  -0.998051 9.575356e-10
3.010000 -0.029709  -0.995578 9.737255e-10
3.020000 -0.039650  -0.992110 9.902614e-10
3.030000 -0.049551  -0.987650 1.007113e-09
3.040000 -0.059403  -0.982203 1.024249e-09
3.050000 -0.069195  -0.975773 1.041635e-09
3.060000 -0.078918  -0.968367 1.059237e-09
3.070000 -0.088562  -0.959993 1.077020e-09
3.080000 -0.098118  -0.950659 1.094947e-09
3.090000 -0.107576  -0.940374 1.112981e-09
3.100000 -0.116926  -0.929149 1.131083e-09
3.110000 -0.126159  -0.916995 1.149214e-09
3.120000 -0.135265  -0.903924 1.167338e-09
3.130000 -0.144237  -0.889949 1.185413e-09
3.140000 -0.153064  -0.875084 1.203401e-09
3.150000 -0.161739  -0.859344 1.221263e-09
3.160000 -0.170251  -0.842744 1.238961e-09
3.170000 -0.178594  -0.825302 1.256457e-09
3.180000 -0.186757  -0.807034 1.273713e-09
3.190000 -0.194734  -0.787960 1.290693e-09
3.200000 -0.202517  -0.768097 1.307361e-09
3.210000 -0.210096  -0.747466 1.323683e-09
3.220000 -0.217466  -0.726088 1.339627e-09
3.230000 -0.224618  -0.703984 1.355160e-09
3.240000 -0.231546  -0.681176 1.370253e-09
3.250000 -0.238242  -0.657687 1.384879e-09
3.260000 -0.244699  -0.633540 1.399010e-09
3.270000 -0.250912  -0.608759 1.412624e-09
3.280000 -0.256874  -0.583370 1.425698e-09
3.290000 -0.262580  -0.557397 1.438213e-09
3.300000 -0.268022  -0.530867 1.450152e-09
3.310000 -0.273197  -0.503806 1.461502e-09
3.320000 -0.278098  -0.476241 1.472249e-09
3.330000 -0.282722  -0.448200 1.482385e-09
3.340000 -0.287062  -0.419711 1.491904e-09
3.350000 -0.291116  -0.390802 1.500802e-09
3.360000 -0.294879  -0.361502 1.509078e-09
3.370000 -0.298346  -0.331841 1.516736e-09
3.380000 -0.301515  -0.301848 1.523779e-09
3.390000 -0.304383  -0.271553 1.530217e-09
3.400000 -0.306946  -0.240987 1.536061e-09
3.410000 -0.309203  -0.210179 1.541324e-09
3.420000 -0.311150  -0.179161 1.546023e-09
3.430000 -0.312786  -0.147965 1.550178e-09
3.440000 -0.314109  -0.116620 1.553812e-09
3.450000 -0.315118  -0.085158 1.556950e-09
3.460000 -0.315812  -0.053612 1.559619e-09
3.470000 -0.316191  -0.022012 1.561851e-09
3.480000 -0.316253  0.009610 1.563678e-09
3.490000 -0.315998  0.041223 1.565135e-09
3.500000 -0.315428  0.072794 1.566260e-09
3.510000 -0.314543  0.104293 1.567092e-09
3.520000 -0.313342  0.135687 1.567673e-09
3.530000 -0.311829  0.166946 1.568045e-09
3.540000 -0.310003  0.198037 1.568254e-09
3.550000 -0.307868  0.228931 1.568346e-09
3.560000 -0.305425  0.259595 1.568368e-09
3.570000 -0.302676  0.290001 1.568368e-09
3.580000 -0.299625  0.320116 1.568396e-09
3.590000 -0.296274  0.349911 1.568501e-09
3.600000 -0.292627  0.379356 1.568734e-09
3.610000 -0.288687  0.408421 1.569146e-09
3.620000 -0.284458  0.437078 1.569787e-09
3.630000 -0.279945  0.465299 1.570708e-09
3.640000 -0.275152  0.493054 1.571958e-09
3.650000 -0.270084  0.520315 1.573587e-09
3.660000 -0.264746  0.547057 1.575643e-09
3.670000 -0.259143  0.573251 1.578174e-09
3.680000 -0.253281  0.598872 1.581226e-09
3.690000 -0.247166  0.623895 1.584844e-09
3.700000 -0.240803  0.648293 1.589070e-09
3.710000 -0.234200  0.672043 1.593946e-09
3.720000 -0.227362  0.695121 1.599510e-09
3.730000 -0.220297  0.717504 1.605799e-09
3.740000 -0.213012  0.739170 1.612848e-09
3.750000 -0.205514  0.760096 1.620689e-09
3.760000 -0.197810  0.780262 1.629349e-09
3.770000 -0.189909  0.799648 1.638856e-09
3.780000 -0.181817  0.818235 1.649232e-09
3.790000 -0.173544  0.836003 1.660497e-09
3.800000 -0.165097  0.852935 1.672667e-09
3.810000 -0.156485  0.869014 1.685755e-09
3.820000 -0.147717  0.884224 1.699771e-09
3.830000 -0.138801  0.898550 1.714721e-09
3.840000 -0.129746  0.911977 1.730608e-09
3.850000 -0.120561  0.924492 1.747429e-09
3.860000 -0.111256  0.936083 1.765180e-09
3.870000 -0.101840  0.946738 1.783853e-09
3.880000 -0.092321  0.956446 1.803435e-09
3.890000 -0.082711  0.965198 1.823909e-09
3.900000 -0.073017  0.972984 1.845257e-09
3.910000 -0.063251  0.979798 1.867456e-09
3.920000 -0.053421  0.985631 1.890477e-09
3.930000 -0.043538  0.990479 1.914291e-09
3.940000 -0.033612  0.994337 1.938865e-09
3.950000 -0.023652  0.997200 1.964162e-09
3.960000 -0.013668  0.999066 1.990141e-09
3.970000 -0.003670  0.999933 2.016760e-09
3.980000 0.006331  0.999800 2.043974e-09
3.990000 0.016326  0.998667 2.071733e-09
4.000000 0.026304  0.996535 2.099987e-09
4.010000 0.036256  0.993407 2.128684e-09
4.020000 0.046172  0.989286 2.157767e-09
4.030000 0.056042  0.984175 2.187180e-09
4.040000 0.065856  0.978080 2.216864e-09
4.050000 0.075604  0.971007 2.246760e-09
4.060000 0.085276  0.962963 2.276806e-09
4.070000 0.094863  0.953956 2.306940e-09
4.080000 0.104355  0.943995 2.337100e-09
4.090000 0.113743  0.933090 2.367222e-09
4.100000 0.123017  0.921252 2.397244e-09
4.110000 0.132168  0.908493 2.427102e-09
4.120000 0.141187  0.894825 2.456733e-09
4.130000 0.150065  0.880263 2.486077e-09
4.140000 0.158792  0.864820 2.515071e-09
4.150000 0.167361  0.848512 2.543656e-09
4.160000 0.175762  0.831356 2.571775e-09
4.170000 0.183988  0.813369 2.599369e-09
4.180000 0.192030  0.794568 2.626385e-09
4.190000 0.199879  0.774972 2.652771e-09
4.200000 0.207529  0.754602 2.678477e-09
4.210000 0.214971  0.733477 2.703455e-09
4.220000 0.222199  0.711618 2.727661e-09
4.230000 0.229204  0.689048 2.751056e-09
4.240000 0.235980  0.665789 2.773599e-09
4.250000 0.242520  0.641864 2.795259e-09
4.260000 0.248817  0.617297 2.816004e-09
4.270000 0.254866  0.592113 2.835808e-09
4.280000 0.260659  0.566337 2.854648e-09
4.290000 0.266192  0.539994 2.872506e-09
4.300000 0.271459  0.513112 2.889368e-09
4.310000 0.276454  0.485716 2.905224e-09
4.320000 0.281173  0.457835 2.920069e-09
4.330000 0.285611  0.429496 2.933902e-09
4.340000 0.289763  0.400727 2.946727e-09
4.350000 0.293626  0.371557 2.958552e-09
4.360000 0.297194  0.342016 2.969390e-09
4.370000 0.300466  0.312133 2.979259e-09
4.380000 0.303437  0.281938 2.988180e-09
4.390000 0.306105  0.251461 2.996179e-09
4.400000 0.308466  0.220732 3.003289e-09
4.410000 0.310519  0.189783 3.009543e-09
4.420000 0.312262  0.158644 3.014982e-09
4.430000 0.313692  0.127346 3.019648e-09
4.440000 0.314809  0.095921 3.023589e-09
4.450000 0.315611  0.064400 3.026855e-09
4.460000 0.316097  0.032815 3.029503e-09
4.470000 0.316267  0.001197 3.031588e-09
4.480000 0.316121  -0.030423 3.033173e-09
4.490000 0.315659  -0.062012 3.034322e-09
4.500000 0.314881  -0.093539 3.035101e-09
4.510000 0.313788  -0.124972 3.035580e-09
4.520000 0.312381  -0.156280 3.035829e-09
4.530000 0.310662  -0.187433 3.035923e-09
4.540000 0.308633  -0.218397 3.035935e-09
4.550000 0.306294  -0.249144 3.035942e-09
